9.0443,7.6057
11.814,24.705
2.3056,13.721
7.6964,15.787
26.381,17.45
26.844,36.67
10.096,1.4042
37.827,5.1354
32.992,9.3801
3.4475,37.444
16.303,22.803
18.998,27.717
32.502,37.276
17.311,14.2
25.702,24.022
2.989,2.3537
37.449,11.237
21.187,34.234
19.954,19.057
2.1189,6.6123
1.5825,20.368
5.677,21.143
15.4,38.027
37.461,24.824
7.5105,26.471
20.11,3.7546
32.12,21.158
20.221,9.9071
37.933,35.287
12.295,16.813
16.246,5.9351
25.741,9.0391
26.098,2.1314
9.7359,34.729
34.93,16.728
36.969,29.945
33.2,2.1314
1.9224,27.382
