27.294,20.927
31.78,1.7965
15.434,38.624
32.502,37.276
3.1911,37.256
5.4243,22.203
34.584,27.322
32.21,21.005
18.207,25.881
21.159,34.749
38.319,4.643
14.679,13.253
19.725,29.908
22.899,2.6294
2.0428,8.2314
7.3732,25.552
3.5657,4.6439
32.635,15.297
17.596,15.627
10.776,2.6988
1.5825,20.368
23.84,25.505
20.95,11.022
37.94,23.845
12.724,25.816
12.335,20.386
26.844,36.67
37.204,10.548
1.9224,27.382
26.025,15.17
37.825,31.848
39.218,27.412
5.8232,13.607
10.692,15.406
12.874,33.545
7.0956,33.116
25.702,8.8413
17.471,6.3658
6.8907,18.325
36.987,16.756
1.8616,14.568
33.385,8.6707
38.074,35.787
9.3302,37.33
17.845,21.335
22.768,17.989
